name,birthday,gender,is_married,children,membership_start,age,passenger_id
Chalisa Reed,1976-03-19,male,True,2,2010-03-21,48,1
Angela Purcell,1996-03-04,female,False,3,2021-10-08,28,2
Randall Espinoza,1989-06-08,male,False,1,,35,3
Clifford Waters,1971-03-17,male,True,3,1988-07-15,53,4
Mark Polauaypon,1994-12-26,male,False,1,,29,5
Leon Garcia,1956-08-09,male,True,0,,67,6
Lauren Sanchez,1984-01-23,female,False,2,2022-07-12,40,7
Gokul Barnes,1981-03-07,female,False,1,1999-09-10,43,8
Randall Smythe,2000-03-17,male,False,0,2022-02-21,24,9
William Clay,1966-09-08,male,True,4,1992-02-15,57,10
Brett Cooper,1982-11-01,male,True,4,,41,11
Barry Berry,1944-01-28,male,True,3,,80,12
Tobias Kitprapa,1981-06-06,male,True,2,2002-07-07,43,13
Melissa Kadakia,1979-02-07,female,False,1,1996-11-07,45,14
Pattapon McPhillips,2010-02-27,female,False,0,,14,15
Aaryahi Fields,2010-04-12,female,False,0,,14,16
Rachael Wannapaitoonsri,1996-02-08,female,False,1,,28,17
Puntira Church,1970-10-15,male,True,3,1995-12-19,53,18
Kartik Pena,1930-03-10,male,False,0,,94,19
Patrick Adams,1949-09-07,male,False,2,2018-06-06,74,20
Lauren Bahl,1978-08-01,female,False,2,2018-02-22,45,21
Caoilfhionn Badami,1984-02-26,female,False,2,2022-03-17,40,22
Phillip West,1992-11-17,male,False,0,,31,23
Anne Mclean,1951-11-10,female,False,1,1983-10-11,72,24
Molly Gilbert,1975-11-27,female,True,2,1994-10-16,48,25
Jack Smith,2008-05-13,male,False,0,,16,26
Carolyn Wasunun,1949-05-21,female,False,2,1980-09-22,75,27
David Lewis,1982-01-05,male,False,1,,42,28
Kristopher Considine,1974-08-12,male,True,3,1993-06-18,49,29
Kabir Ellis,2007-09-14,male,False,0,,16,30
Yanisa Buchanan,1958-04-25,female,False,1,,66,31
Charlotte McDunphy,1994-10-02,female,True,3,,29,32
Mark Sittisaowapak,1980-09-05,male,True,4,,43,33
Mamooty Young,2015-09-29,male,False,0,,8,34
Cynthia Butler,1957-04-20,female,True,5,1993-01-22,67,35
Edward James,1992-08-04,male,False,2,2019-08-23,31,36
Antony Ring,1953-02-27,male,True,2,,71,37
Melanie Wilkerson,1960-11-21,female,True,3,1993-08-02,63,38
Elakshi Youprasert,2022-01-09,female,False,0,,2,39
Beth Allen,2015-04-10,female,False,0,,9,40
Jack Brannelly,1960-06-17,male,True,5,,64,41
Zara Buchanan,2010-08-01,female,False,0,,13,42
Aarna Robbins,1999-08-29,female,False,0,,24,43
Suzanne Nugent,1974-01-07,female,True,2,1990-01-08,50,44
Kathleen Taylor,1983-10-05,female,False,4,,40,45
Melinda Intaum,2015-11-30,female,False,0,,8,46
